柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
雷	léi	thunder	這台電腦誕生在麻省理工學院的林肯實驗室裏，是傑伊·福雷斯特專為美國海軍研製的。
玩弄	wánnòng	Playing	在此同時，我在這邊玩弄這一部份。你可以將之想像為一種新的雕塑工具，
過人	guòrén	Anyone	現在我要給大家看的是不經過人工干預且全自動的自行複製過程。
長遠	chángyuăn	farsighted	偵測到的信號也給予了我們對於一個長遠未來之可能性之信心
空曠	kōngkuàng	Empty	這樣也應該是合理的吧？ 在那邊有很多空曠的空間
流水	liúshī	Water	廣大的森林和潺潺流水，而非下水道和排水溝？
機器人	jīqìrén	robot	看這個機器人，現在，看它用腿的什麼部位接觸這些有障礙的地表，試圖翻越過去。
惶恐	huángkǒng	terrified	都會覺得這是最惶恐和折磨的過程。
民謠	mínyáo	ballad	只是其中一些而已，但可能你會從民謠中得到些許的暗示。
隨即	suíjí	forthwith	這個要比這些隨即無序的粒子運動
溶	róng	dissolve	也就是說,當冰層溶化時,這些碳會經由微生物的作用轉化成甲烷
外遇	wàiyù	adultery	如果我有多餘的時間，我可以說個烏鴉外遇的故事
炸藥	zháyào	dynamite	他們建造了一個系統，每四分之一秒會彈出一個炸藥桶。
來客	láikè	guest	身為一個專業的外來客, 若你想這樣叫我也行
指揮	zhǐhuī	command	說："你是個偉大的指揮家。我們不要和你一起工作，請辭職。"
曝光	pùguāng	exposure	我們可以假裝沒看到，或是我們可以讓這張照片曝光
前輩	qiánbèi	predecessor	現在，老前輩們不彈奏酷炫的吉他，而是做一些這樣的事。
劃時代	huàshídài	Landmark	我們正在進入一個劃時代的劇變，我指的是美國
灰	huī	ash	因為當人們想到建築師，大部分人會聯想到一個灰髮斑斑的白人
火藥	huǒyào	gunpowder	有兩個人在一場勢均力敵的競賽，火藥味十足。
拐	guăi	turn	當你走過建築的拐角，發現有一塊地方與街道很契合，
傳	chuán	transmit	這樣的話人們可以看到它們的宗教傳統，重塑這些傳統，讓宗教成為世界和平的源頭，
大意	dàyì	careless	另一個顯示其重大意義的理由是，這是一項國際合作項目，
若	ruò	if	若問他：『發亮的未必都是黃金』(譯註：英諺，意同『金玉其外，敗絮其中』)
心愛	xīnài	beloved	他所工作的地方，她說：「心愛的，我愛你，我只想讓你知道
實地	shídì	Field	一整個星期扎實地教學。嗯，一星期我有四分之三的時間在教書，但已經夠好了。
靈感	línggăn	inspiration	第三，我們堅定的相信我們不要單純模仿自然，而是要從生物中汲取靈感，
賜	cì	give	硬分成有創意和沒創意兩種，好像創造力是上天恩賜似的
時差	shíchāi	time difference	好，我承認，我當時差一點就要改當鷿鷈了。
宣示	xuānshì	Declared	當沃爾瑪超市宣示要向綠色發展而且是要能獲利
逐步	zhúbù	progressively	逐步演化出語言 實際在書寫上另一個歷史上巨大的改變
水晶	shuǐjīng	crystal	在脱口秀中接受訪問，講述你在水晶球裡看到的事情。
起碼	qǐmă	at least	最起碼對於那些兩歲和兩歲以上的孩子來說是這樣的。
製品	zhìpǐn	goods	真品和複製品看起來相同，但他們擁有不同的歷史背景
理性	lǐxìng	reason	「當世上最後一隻渡渡鳥死去的時候，斯賓諾莎正不斷尋找一個適用萬物的理性解釋
服刑	fúxíng	serve a sentence	那些少年正在監獄服刑，但他們從早上八時至
編寫	biānxiě	compose	包括那個站在前面的女士們，他們編寫了大部分的代碼。所有的這一幫人是歷史上第一批程式設計師。
抵制	dǐzhì	boycott	也會抵制這樣的想法: 他們與伊朗人在大多數方面具有相同點。
額外	éwài	extra	一張海報應該可以馬上被人了解、看懂，而不需要額外的解釋。
養分	yăngfèn	nutrient	用了那麼多聚合物，我們真正需要的是技術養分，
確保	quèbăo	ensure	”儘管不是那麼嚴重，我們最好注意一下確保這些事部會變成嚴重的訴訟。”
治標	zhìbiāo	Temporary	他們提出的解決方案就不會只是治標，而是要治本。
侵襲	qīnxí	Invasion	但你在龍捲風侵襲後送他到賈柏林小鎮，
修好	xiūhăo	Fix	我們會說，"喔，天啊。那片破了。我們把它修好吧。
一律	yílǜ	All of them	鏡子一律照實反映，不過鏡子本身不受影響
打鬥	dădòu	Fight	還有這些景象：打鬥的景象、恩愛的景象。
成員	chéngyuán	member	以為我設計的作品也是他們的作品 -- 而自己不再是製造馬桶的成員
轟動	hōngdòng	stir	其中我拍攝了一些難得一見、更為轟動的照片
致力	zhìlì	dedicate	而現在，如京都協定書及州長阿諾致力減少溫室氣體排放等等的努力，
關切	guānqiè	Concerns	長期的研究使我產生一種對生物的關切，並發了一個宏願
蔓延	mànyán	spread	他們就是這樣做，這股「把事情做對」的風潮已經蔓延開來了，
內戰	nèizhàn	civil war	也就是持續三年的比亞夫拉戰爭(奈及利亞內戰)前幾個月
啼	tí	cry	最近還發生了一場令人啼笑皆非的爭論
難以	nányǐ	Can’t	在 [嗶] 附近凌亂的捲毛、還有在 [嗶] 和 [嗶]下面難以清除的部位等。
人選	rénxuăn	Candidate	都是一流人選, 從政治行動主義者 到科學家與企業家
縱火	zònghuǒ	arson	被縱火焚燒 ，這是一個巨大的文化損失。
胃口	wèikǒu	appetite	「我們的胃口太小，吞不下你們偉大的理想」
恩愛	ēnài	Love	還有這些景象：打鬥的景象、恩愛的景象。
鋁	lǚ	aluminium	對金屬來說，保持改變的形狀很正常。當你把鋁箔的一角彎起來，
管線	guănxiàn	pipeline	你們可以請清洗管道的人過來，察看大樓的管線有沒有破損
躲避	duǒbì	avoid	為了躲避＂簡單＂，去年夏天我跑去鱈魚角渡假
沙拉	shālā	Salad	如果你買了其一﹐卻覺得它不夠好 - 你知道沙拉醬是什麼嗎﹖
收集	shōují	gather	我想到一個方法 - 如果我們用一個巨大的反射鏡來收集陽光呢?
宗旨	zōngzhǐ	purpose	本書的宗旨是要為人生建立「標竿」，他也成功做到這點
壓制	yāzhì	suppress	壓制他們的慾望 去追求更高的 更榮耀的理想
埋伏	máifú	ambush	在埋伏等待進入房間的阿富汗和美國士兵。
懷	huái	bosom	而此時紐約和洛杉磯的人們正帶著一種絕對不懷好意的驚訝表情袖手旁觀。
測	cè	measure	一個圓圈,或環形。這被稱為「愛因斯坦環」--因為愛因斯坦首先預測到這個現象
圈	quān	circle	一個圓圈,或環形。這被稱為「愛因斯坦環」--因為愛因斯坦首先預測到這個現象
展現	zhănxiàn	Show	來到深圳這裏，我只是想展現自己有賺更多錢的能力。 讓父母去嘗試到很富裕的感覺吧？
逃生	táoshēng	escape	如果這三台其中一台故障，你還有第二個逃生的機會。
適中	shìzhōng	moderate	喜歡做家事，身材適中，臉蛋標緻，
有限	yǒuxiàn	limited	後來我得到了一個全球諮詢性的工作--在埃森哲股份有限公司
衝	chōng	rush	順道一提，我從未搞懂為什麼抽象主義和自然主義之間會有衝突，
分辨	fēnbiàn	differentiate	他的小小的腦袋會送出化學物質，這種物質的毀滅程度會讓腦中分辨是非的部分停止生長，
優待	yōudài	Preferential treatment	優待券、空架子和包裝來吸引我，
行號	hánghào	line number	在這圖上，結點代表公司行號、人、政府機關
卡通	kătōng	cartoon	(笑)煤碳:新的駱駝老喬？ (駱駝牌香煙的所創的卡通人物, 使青少年抽煙人口大幅增加)
天敵	tiāndí	natural enemies	它就避開了所有的天敵，而這種新的宿主有對其毫無抵抗力，
武士	wŭshì	warrior	不管是展出日本武士刀
藉口	jièkǒu	excuse	這些就是各種滑稽的藉口 (非洲飢荒怎辦；獨裁暴君會活太久)
來得	láide	Come	來得到最大收入。如果我們可以完成此，市場運作將會解決這個問題的。
對照	duìzhào	Control	我的意思是，假如這個例子可以讓你有一個對照的話，
周遊	zhōuyóu	Travel	我們隨我的工作周遊，而且一切看上去
優異	yōuyì	excellent	阿爾弗雷•德曼恩是一個優異的物理學家和創新家
逐	zhú	chase	於是他們(即使)於中間世界的流程上亦逐漸(對量子微世道)熟悉起來。
嶄新	zhănxīn	brand new	嗯，在這裡我想出現了兩個新的想法 -- 兩個嶄新的想法。
別墅	biéshù	villa	然後我們規劃了會議的場所，還有一個獨立的別墅空間
浮動	fúdòng	float	陸地也只是那麼一點四處浮動的地盤——但對我們來說，它們卻有著深遠意義
成就	chéngjiù	accomplishment	他們比較開心 他們得到成就感 他們有朝目標邁進和掌握情況的感覺
聽寫	tīngxiě	dictation	語音聽寫軟體可以幫助我們快速地撰寫電子郵件，句號。
銀幕	yínmù	screen	也搬上了阿拉伯、非洲、塞內加爾和敘利亞的銀幕。
超脫	chāotuō	Detached	足以讓他們有機會超脫四周的世界
惋惜	wànxí	bemoan	我很惋惜他這麼說，因為我認為他說錯了
雙打	shuāngdă	doubles	現在，如果你玩雙打，
主旨	zhŭzhǐ	keynote	所以，我想這也是這位朋友這輩子生活的主旨
志向	zhìxiàng	ambition	當凌志向你推銷汽車時, 他們在告訴你一個故事。
睡眠	shuìmián	sleep	給大家參考，在僅僅幾年前這個睡眠追蹤系統是這樣的
水源	shuǐyuán	headwaters	如果我們知道提供清潔的水源,我們會得到額外的好處.
把持	băchí	control	他們看到這些工具被保守的當權派所把持，
溫泉	wēnquán	hot spring	世界上最深的溫泉，位於墨西哥北部的薩卡通石灰岩洞。
遺志	yízhì	Behest	當我們想到遺志,
堅信	jiānxìn	Believe	所以，容我岔題一下，我堅信早期診斷癌症的重要性
柱子	zhùzi	pillar	要是他麼發現犯了這麼一個錯誤，這根柱子竟然是相反的。 ”
興隆	xīnglóng	Booming	更安全、商家生意更興隆，我們就會繼續施行
酗酒	xùjiŭ	binge drinking	但事實是, 我活在仿如地獄裡。我跟一個酗酒的爸爸住在一起
揭曉	jiēxiăo	Revealed	現在我就要揭曉這件作品的主題，大家準備好了嗎？
邀	yāo	invite	我想謝謝”克里斯”和”賈桂琳”，還有其他每一位邀請我來這裡的人。
籠罩	lóngzhào	shrouded	大家可以注意到，這裡的每張照片似乎都籠罩在煙塵之中
開啟	kāiqǐ	Open	對吧? 它隨著適應而改變 對吧? 它開啟了各種的可能性
驚奇	jīngqí	amaze	當然，這裡有希望存在。其中之一是我們都擁有那令人驚奇的大腦。
剛強	gāngqiáng	firm	「因為當我軟弱時，我就能變得剛強。」
屎	shǐ	excrement	在這東西背後並沒有所謂的秘訣這種狗屎蛋。我的意思是，它的所有 —
考驗	kăoyàn	test	去到荒無人煙的地方，考驗我們的車子，也考驗我們自己。
書本	shūběn	book	「對，書本。你知道，油墨印刷在紙張上集結成冊的東西，
擴建	kuòjiàn	Expansion	禁止人們在那些街道停車，擴建了許多條人行道，
之內	zhīnèi	Within	順便說一句，我們所發現的這些行星，都位於我們身處的這個狹小空間之內，
派出所	pàichūsuǒ	police station	宣傳新的法律，並去派出所，
胳膊	gēbó	arm	它用兩條腿走路然後將兩隻胳膊高舉在空中，以保證不讓其他生物看見。
群居	qúnjū	live together	熊蜂是群居性的，但是它們不是真正的社會性昆蟲，
患	huàn	trouble	他覺得，那可能會讓實際患有失智症(阿茲海默症)的人們感覺被冒犯
規矩	guījŭ	propriety	自從我們在幾年前制定了這套規矩，我認為它大大幫助了我們創新
採取	căiqŭ	adopt	這問題歸結起來就是去發現小行星，爾後到達它所在的地方并對其採取一定措施。
審核	shěnhé	Audit	這樣的設計能通過審核，讓波士頓和我自己都感到驚訝
跟前	gēnqián	close to	第一次嘗試，我想試試跟前述同樣的狀況，
調皮	tiáopí	mischievous	那艾文是不是故意調皮搗蛋，才拿約書亞的三明治?
對峙	duìzhì	confrontation	也就是，所有兩人對峙的賽局都會形成自然的平衡
沿用	yányòng	continue to use	我們被視為被廢棄的區域，而不合時宜的土地使用法規仍在沿用，
報刊	bàokān	press	可是，報刊文章都把重點放在這裏。
沿途	yántú	on the way	但顯然他們沿途要閃過許多巴士、卡車，
踴躍	yǒngyuè	enthusiastically	在某個時間點，這件事變得非常踴躍
示範	shìfàn	demonstration	克里斯•安德森：這何時能夠成真？對我們來說，這一切不再是只發生在實驗室或是只在舞台上示範？
